3123,Thu Jan 05 02:08:58 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Brasília /DF - Brasil,Lilian Lauton,llauton1,10,Negativo
3124,Thu Jan 05 02:15:45 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Rio,Deise Veras,veras_deise,10,Negativo
3125,Thu Jan 05 02:19:46 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Minas Gerais,Bia Acerbi,Biacerbi,10,Negativo
3126,Thu Jan 05 02:25:38 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Fortaleza Ceará Brasil,Almir Bittencourt,BittencourAlmir,10,Negativo
3127,Wed Jan 04 20:31:22 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Brasil,Ary ANTI PT,Ary_AntiPT,10,Negativo
3128,Wed Jan 04 20:43:33 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,,carlos a vieira,carlosvieiradf,10,Negativo
3129,Wed Jan 04 21:00:12 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Belo Horizonte,Edvane Silva,Notvago,10,Negativo
3130,Wed Jan 04 21:17:21 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,"São Paulo, Brasil",Marconi Freitas,FreitasMarconi,10,Negativo
3131,Thu Jan 05 01:12:20 +0000 2017,"RT @epocanegocios: Mesmo em ""calamidade financeira"", governo de MG compra mais dois helicópteros https://t.co/lP8mMqqBxX https://t.co/2Or9w…",,,Sorocaba - SP,Esportes/Atualidades,oyrnni,11,Negativo
3132,Wed Jan 04 18:00:43 +0000 2017,"RT @epocanegocios: Mesmo em ""calamidade financeira"", governo de MG compra mais dois helicópteros https://t.co/lP8mMqqBxX https://t.co/2Or9w…",,,,Simone Chagas,SimoneChagas11,11,Negativo
3133,Thu Jan 05 00:06:29 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Kel Siqueira,kelmenezes90,245,Negativo
3134,Thu Jan 05 00:09:07 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,YELONE MOURA E SILVA,Yelone97,245,Negativo
3135,Thu Jan 05 00:23:07 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Salvador/Bahia/Brasil,norivaldo,norivaldo,245,Negativo
3136,Thu Jan 05 00:50:38 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,São Gonçalo - RJ,Gustavo Porto,g_porto,245,Negativo
3137,Thu Jan 05 00:57:53 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Cida Martins,cidadgm1,245,Negativo
3138,Thu Jan 05 01:18:22 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Rio Claro SP Brasil,Lucia Balthazar,LuciaBalthazar,245,Negativo
3139,Thu Jan 05 01:33:56 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Sorocaba - SP,Esportes/Atualidades,oyrnni,245,Negativo
3140,Thu Jan 05 01:40:52 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,MarciaSavino,MarciaSavino,245,Negativo
3141,Thu Jan 05 01:57:29 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Augusto de Paula,AugustoQP,245,Negativo
3142,Thu Jan 05 02:19:02 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Simone Bedin,Simobed,245,Negativo
3143,Thu Jan 05 02:33:25 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Belo Horizonte, Brasil",Breno Castilho Xavie,BrenoCXavier,245,Negativo
3144,Thu Jan 05 05:33:23 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Resende, RJ",Daniel Nascimento,daniel_llacerda,245,Negativo
3145,Thu Jan 05 08:52:00 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,por ai,Alessandro Inácio,ajpbim,245,Negativo
3146,Thu Jan 05 10:24:53 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Rio de Janeiro, Brasil",Leo,leocaputomoura,245,Negativo
3147,Thu Jan 05 10:46:55 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brasil,Polliana Jurique,PJurique,245,Negativo
3148,Thu Jan 05 11:14:18 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Novo Hamburgo,Eduardo Sidegum,edusidegum,245,Negativo
3149,Thu Jan 05 11:24:32 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Belo Horizonte - Minas Gerais,Léo Portela,leoportela_,245,Negativo
3150,Thu Jan 05 11:34:28 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Belo Horizonte, MG",Priscilla,prilb,245,Negativo
3151,Thu Jan 05 11:44:43 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Aracaju, Brasil",Marcos Timóteo,MarcosTimteo1,245,Negativo
3152,Thu Jan 05 11:51:10 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Barra da Tijuca, Rio de Janeir",Jose Carlos Castro,ArtInovar,245,Negativo
3153,Thu Jan 05 12:01:34 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Juliana Lobato,Jcclobato,245,Negativo
3154,Thu Jan 05 12:04:36 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Paraná, Brasil",Alexcapontes,Alexcapontes,245,Negativo
3155,Thu Jan 05 12:37:44 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Paulo Silva,ActionFleet,245,Negativo
3156,Thu Jan 05 12:48:39 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Tiradentes da Gerais,TiradentesG,245,Negativo
3157,Thu Jan 05 13:15:41 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Sao Paulo,Brasil",Um Grande Sonho,Oportunidade7,245,Negativo
3158,Thu Jan 05 13:41:39 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Hans,babadeebap,245,Negativo
3159,Thu Jan 05 13:42:19 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,São Paulo,Carlos Saraiva Jr.,carlossaraivajr,245,Negativo
3160,Thu Jan 05 14:08:02 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Maricá-RJ,Elen,ElenVoar,245,Negativo
3161,Thu Jan 05 14:27:15 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Francesco Di Leone,franleone,245,Negativo
3162,Thu Jan 05 18:03:21 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brasiíia  ??,Leandro,lestevao,245,Negativo
3163,Thu Jan 05 18:48:03 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Athos Gibram Moro,athosgibram,245,Negativo
3164,Wed Jan 04 17:56:13 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Florianópolis, Brasil",Lisia Maria Barth,barth_lisia,245,Negativo
3165,Wed Jan 04 18:34:30 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Belo Horizonte,Yan Tetra Matos,yanmatos31,245,Negativo
3166,Wed Jan 04 18:38:10 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Uberlândia - Minas Gerais,Emicida do Bolero,cardosoandrean,245,Negativo
3167,Wed Jan 04 18:49:05 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,BRASIL,ROBERTO CARLOS,jaspionzzz,245,Negativo
3168,Wed Jan 04 19:14:42 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Jornal do Maciço,jornaldomacico,245,Negativo
3169,Wed Jan 04 19:18:55 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Godoy HD,Godoy_HD,245,Negativo
3170,Wed Jan 04 19:39:53 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,BRASIL-NITERÓI RJ,Lenice Moura de Lima,lenicelima,245,Negativo
3171,Wed Jan 04 19:41:51 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,São paulo,Flavia Brina,Vinha10,245,Negativo
3172,Wed Jan 04 19:50:00 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Matinhos - Paraná,Carlos Cotta,carloscotta,245,Negativo
3173,Wed Jan 04 19:54:29 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,PenhaProcopio,PenhaProcopio,245,Negativo
3174,Wed Jan 04 19:54:52 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Belo Horizonte-MG,Fábio de Sousa,fabiocs,245,Negativo
3175,Wed Jan 04 19:55:52 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,MATO GROSSO / GOIÁS ,CLEUTA PAIXÃO,CleutaPaixao,245,Negativo
3176,Wed Jan 04 19:57:34 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,São Lourenço do Sul - RS,lombetinha™,Arthurdalomba,245,Negativo
3177,Wed Jan 04 19:58:47 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Lucas santos trindad,Lucasstriy,245,Negativo
3178,Wed Jan 04 20:04:32 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Amsterdã,Mr.Macphisto Returns,MrMacphisto6,245,Negativo
3179,Wed Jan 04 20:05:04 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,André,andreccaldeira,245,Negativo
3180,Wed Jan 04 20:19:44 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,MIR - MACAE'- RJ,Luciane Costa,lucianecosta12,245,Negativo
3181,Wed Jan 04 20:35:36 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Goiânia-Go,Christiane Brandão,ChrisMBrandao,245,Negativo
3182,Wed Jan 04 20:43:48 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Diadema, Brasil",Alexandra Oliveira,xandaoliveira30,245,Negativo
3183,Wed Jan 04 20:48:14 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Ceiça Rocha,ceica_rocha,245,Negativo
3184,Wed Jan 04 20:53:04 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Por aí,Cáustico™,AcordouAcordou,245,Negativo
3185,Wed Jan 04 21:03:25 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Bia,Beatriz Santos,lpamti,245,Negativo
3186,Wed Jan 04 21:03:36 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,José Trindade,jozecatrindade,245,Negativo
3187,Wed Jan 04 21:04:06 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brazil,O pai do Luke,Gustavo220774,245,Negativo
3188,Wed Jan 04 21:09:50 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,República de Curitiba,Marcelo Silva,marcelo101971,245,Negativo
3189,Wed Jan 04 21:22:30 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Flávia Fontes,flaviafontes3,245,Negativo
3190,Wed Jan 04 21:37:08 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Natal, RN - Brasil",Paulo Sergio Furtado,psfurtado2012,245,Negativo
3191,Wed Jan 04 22:03:07 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Fortaleza, Ceará",Oliveira,socram2014,245,Negativo
3192,Wed Jan 04 22:19:17 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Washington, DC",The Ark,TheArk2017,245,Negativo
3193,Wed Jan 04 22:20:22 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,"Votuporanga, São Paulo",Adila Dahwache,AdilaDahwache,245,Negativo
3194,Wed Jan 04 22:57:24 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Francisco Neto,Nettoss,245,Negativo
3195,Wed Jan 04 22:58:45 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Maria,MariaLCAb,245,Negativo
3196,Wed Jan 04 23:08:24 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Fabio Santana,fabiofes1,245,Negativo
3197,Wed Jan 04 23:10:44 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Debora Reis,deborareis_m,245,Negativo
3198,Wed Jan 04 23:12:39 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,São Paulo Brasil,Marcos J Andrade,mjandrade,245,Negativo
3199,Wed Jan 04 23:14:41 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Itanhaém-SP-Brasil,Jorge Henrique,jorgehventura,245,Negativo
3200,Wed Jan 04 23:15:06 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brasil,Martm A.MarquesFilho,196069,245,Negativo
3201,Wed Jan 04 23:15:10 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Metzelderland,Decri,decri,245,Negativo
3202,Wed Jan 04 23:17:12 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Ministério Público de Goiás,Everaldo Sebastião,everaldos679,245,Negativo
3203,Wed Jan 04 23:19:43 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Juliene Pessoa,JulienePessoa,245,Negativo
3204,Wed Jan 04 23:24:36 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brasil,Claudio Pereira Reis,ClaudioPReis,245,Negativo
3205,Wed Jan 04 23:26:47 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,goiania,paulo afonso,paulindentista,245,Negativo
3206,Wed Jan 04 23:28:53 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Andrea Goncalves,AndreaKGalore,245,Negativo
3207,Wed Jan 04 23:41:22 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,Sou Beta,SouBeta21,245,Negativo
3208,Wed Jan 04 23:44:59 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brasil - Sampa,IGOR CUNHA,CSIGOR,245,Negativo
3209,Wed Jan 04 23:50:27 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,,r matavelli,rmatavelli,245,Negativo
3210,Wed Jan 04 23:54:08 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Brazil,Cesar Neto,cesarwneto,245,Negativo
3211,Thu Jan 05 09:58:00 +0000 2017,RT @Estadao: Pimentel busca filho com helicóptero do governo; assista https://t.co/cCf56At61X https://t.co/YqAHmv3XFL,,,Sao Paulo,giassetti,giassetti,57,Negativo
3212,Fri Jan 06 16:42:59 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,,Eduardo Sizo,eduardosizo,388,Negativo
3213,Mon Jan 09 04:31:14 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,"Paraná, Brasil",AquelaMariana,AquelaMariana,388,Negativo
3214,Sat Jan 07 13:11:47 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,Brasil,Ary ANTI PT,Ary_AntiPT,388,Negativo
3215,Sat Jan 07 14:04:57 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,,eliziariobelfort111,eliziariobelfor,388,Negativo
3216,Sat Jan 07 14:09:58 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,,High Energy,HighEnergyBR,388,Negativo
3217,Thu Jan 05 02:31:54 +0000 2017,RT @Estadao: Pimentel vai buscar filho em festa de réveillon com helicóptero do governo de Minas: https://t.co/cCf56Abvap (via @EstadaoPoli…,,,Montes Claros - MG,Andre Colares Mendes,andrecolaresBJJ,388,Negativo
3218,Fri Jan 06 22:35:16 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,,ligado no Brasil,annapaimm,59,Negativo
3219,Sat Jan 07 01:25:04 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,"Maringá, Brasil",Eduardo Morante,morante_eduardo,59,Negativo
3220,Thu Jan 05 00:20:17 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,Proximo a mata do Jambreiro,Paulo Mário,pmariocf,59,Negativo
3221,Thu Jan 05 00:21:18 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,Belém - Pará.,Jaciel Papaléo Paes,jaciel_paes,59,Negativo
3222,Thu Jan 05 00:53:57 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,,Adelcir Oliveira,AdelcirAdelcir,59,Negativo
3223,Thu Jan 05 00:54:09 +0000 2017,"RT @EstadaoPolitica: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/Xz79vBreX9 https://t.co/H…",,,,Rossiane Souza,RossianeSouza,59,Negativo
